iter	RMSE
0	14.24373356
1	13.33859968
2	12.49232574
3	11.72525971
4	11.01740678
5	10.51166437
6	9.939682468
7	9.512600269
8	9.102861868
9	8.676985866
10	8.294442716
11	7.980188378
12	7.712121548
13	7.434952787
14	7.199116819
15	7.002461847
16	6.819078023
17	6.638457213
18	6.480998736
19	6.349294321
20	6.246665785
21	6.145305062
22	6.046114173
23	5.957230979
24	5.874550917
25	5.809036897
26	5.745567289
27	5.671401226
28	5.616492883
29	5.573056261
30	5.52747057
31	5.484657765
32	5.440313478
33	5.408364045
34	5.370545273
35	5.328334709
36	5.302056737
37	5.276010995
38	5.253495672
39	5.234710171
40	5.219799348
41	5.200903232
42	5.186125253
43	5.171176509
44	5.155601727
45	5.13955939
46	5.119522808
47	5.098934103
48	5.081942966
49	5.065050621
50	5.050891624
51	5.039004346
52	5.036720524
53	5.022626073
54	5.012200764
55	4.998731151
56	4.990014326
57	4.978497184
58	4.964165463
59	4.941462635
60	4.933128537
61	4.918949183
62	4.907894266
63	4.897345352
64	4.895552935
65	4.886833681
66	4.877582964
67	4.868205807
68	4.855289527
69	4.848421417
70	4.838434586
71	4.829168236
72	4.821516034
73	4.8190484
74	4.805717282
75	4.791065541
76	4.784100474
77	4.781107408
78	4.772205577
79	4.767342031
80	4.75824254
81	4.753495013
82	4.741205842
83	4.731845732
84	4.719190134
85	4.712018783
86	4.707417402
87	4.706696583
88	4.69628345
89	4.693801864
90	4.681622782
91	4.680056949
92	4.676198968
93	4.666683019
94	4.660203196
95	4.650150917
96	4.636975528
97	4.623900247
98	4.6064614
99	4.600338871
