iter	Passed	Remaining
0	0	92
1	1	85
2	2	83
3	3	81
4	4	79
5	4	77
6	5	76
7	6	75
8	7	74
9	8	72
10	8	71
11	9	71
12	10	70
13	11	69
14	12	68
15	12	66
16	13	65
17	14	64
18	14	63
19	15	62
20	16	61
21	16	60
22	17	59
23	18	58
24	19	58
25	20	57
26	21	56
27	21	55
28	22	55
29	23	54
30	23	53
31	24	52
32	25	51
33	26	50
34	26	49
35	27	49
36	28	48
37	29	47
38	29	46
39	30	45
40	31	44
41	31	44
42	32	43
43	33	42
44	34	41
45	35	41
46	35	40
47	36	39
48	37	38
49	37	37
50	38	37
51	39	36
52	39	35
53	40	34
54	41	33
55	41	32
56	42	32
57	43	31
58	44	30
59	44	29
60	45	29
61	46	28
62	47	27
63	48	27
64	48	26
65	49	25
66	49	24
67	50	23
68	51	23
69	52	22
70	52	21
71	53	20
72	54	20
73	55	19
74	55	18
75	56	17
76	57	17
77	57	16
78	58	15
79	59	14
80	60	14
81	60	13
82	61	12
83	62	11
84	63	11
85	63	10
86	64	9
87	64	8
88	65	8
89	66	7
90	67	6
91	67	5
92	68	5
93	69	4
94	70	3
95	70	2
96	71	2
97	72	1
98	73	0
99	73	0
